WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
1,PSMEA,World,"Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne",,U.S. dollars,Units,,225.683,225.244,195.434,222.666,191.197,145.411,166.902,184.496,259.845,234.045,192.387,192.332,196.301,216.526,199.013,198.546,266.379,279.875,174.727,152.565,187.17,180.612,183.981,214.655,257.145,205.778,193.975,263.673,367.938,359.284,331.317,378.861,473.284,477.299,466.966,352.722,350.168,348.614,373.312,334.561,344.798,333.711,
1,PSOIL,World,"Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne",,U.S. dollars,Units,,535.465,493.376,403.262,511.251,647.938,571.603,364.387,366.904,529.66,453.454,492.145,446.693,433.189,503.149,603.037,584.684,544.229,525.857,562.49,392.404,351.821,346.989,409.839,500.201,590.417,495.8,551.496,799.656,"1,133.79",787.037,924.822,"1,215.82","1,151.75","1,011.11",812.71,672.165,721.164,735.279,658.631,645.324,612.238,630.65,
1,PROIL,World,"Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton",,U.S. dollars,Units,,572.368,484.714,418.538,501.561,688.345,540.95,359.387,347.333,537.97,476.598,428.487,416.553,405.098,460.883,621.263,632.711,563.07,562.833,630.475,428.688,346.24,391.879,479.183,603.578,713.201,720.966,851.318,"1,011.86","1,423.71",856.178,"1,011.75","1,366.63","1,239.08","1,080.86",904.368,774.609,821.951,871.95,829.631,853.664,809.243,788.055,
1,PPOIL,World,"Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne",,U.S. dollars,Units,,481.84,471.579,367.801,414.353,602.283,413.94,212.376,283.03,361.259,289.572,239.508,280.138,325.33,312.142,437.271,537.622,467.152,490.428,600.847,377.277,261.144,238.398,356.744,410.374,434.722,367.685,416.827,719.148,863.112,644.006,859.942,"1,076.50",939.834,764.197,739.408,565.09,639.846,647.801,559.859,523.951,564.316,553.604,
1,PSUNO,World,"Sunflower Oil, US export price from Gulf of Mexico, US$ per metric tonne",,U.S. dollars,Units,,556.013,561.653,464.602,490.531,673.72,584.951,463.629,450.078,595.18,606.198,603.572,587.115,562.181,682.172,723.53,631.71,560.392,556.892,665.228,466.463,379.327,436.109,605.827,649.997,734.407,"1,144.54",713.111,673,"1,693.65","1,041.67","1,186.00","1,621.84","1,489.48","1,341.22","1,080.31","1,022.18","1,009.74",953.032,900.806,883.511,865.322,846.997,
1,POLVOIL,World,"Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric tonne",,U.S. dollars,Units,,"2,144.46","1,956.69","1,872.44","1,872.48","1,855.76","1,938.04","2,104.03","2,278.96","2,299.33","2,442.77","3,212.48","3,184.86","3,177.94","2,703.64","3,148.84","4,499.51","5,965.18","4,236.48","3,227.05","3,650.44","2,980.12","2,667.28","2,900.51","3,796.77","4,630.93","5,519.16","5,487.70","4,561.03","4,167.45","3,509.33","3,171.27","3,062.24","3,019.37","3,894.46","3,780.56","4,292.84","3,978.47","4,529.80","3,911.73","3,166.33","2,779.18","2,792.49",
1,PFISH,World,"Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric tonne",,U.S. dollars,Units,,"1,013.51",939.337,710.782,909.198,749.795,548.337,576.712,647.554,703.572,647.964,651.355,525.392,517.72,404.519,403.158,521.471,629.266,645.954,708.997,433.111,452.09,530.051,645.556,650.196,692.898,744.228,"1,074.28","1,185.46","1,160.19","1,255.85","1,739.22","1,519.25","1,624.30","1,710.51","1,921.47","1,759.21","1,418.45",1161.282,1350.099,1251.032,1276.409,1272.672,
1,PGNUTS,World,"Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric tonne",,U.S. dollars,Units,,"1,394.64","1,418.14",933.271,"1,088.72",943.515,774.948,855.708,595.461,640.762,788.533,"1,065.56","1,069.46",649.324,927.639,921.029,816.673,810.112,874.209,795.104,762.64,785.509,753.254,654.928,855.903,910,769.105,828.856,"1,177.47","1,567.72",994.615,"1,239.38","1,724.04","1,688.18","2,318.16","2,148.27","1,946.21","1,798.30","1,949.41","2,048.38","1,846.10","1,908.40","1,908.79",
1,PMEATW,World,"Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",,"Index, 2016=100",,,86.249,90.877,111.495,96.823,94.263,92.027,98.309,99.121,81.816,76.07,95.265,89.195,71.546,79.143,72.274,70.01,87.07,78.171,61.106,61.059,69.256,74.421,68.154,71.433,88.073,86.873,82.865,85.546,88.581,82.249,99.266,114.486,110.082,112.977,134.013,109.556,100,109.891,106.513,111.869,102.09,105.496,
1,PBEEF,World,"Beef, Australian and New Zealand 85% lean fores, FOB U.S. import price, US cents per pound",,U.S. cents,Units,,125.19,112.122,108.392,110.672,103.109,97.669,94.983,108.175,114.172,116.463,116.267,120.834,111.336,118.738,105.818,86.502,80.97,84.168,78.295,83.139,87.789,96.541,95.404,89.735,113.907,118.729,115.635,118.038,121.103,119.623,152.475,183.178,187.943,183.562,224.058,200.494,178.208,191.511,183.557,209.697,186.619,189.127,
